requestId,source,destination,category,urgency,timeSubmitted,deadline,status
SR065,L001,L029,TRANSFER,HIGH,2024-01-03 10:20,2024-01-03 11:20,COMPLETED
SR066,L032,L004,ADMISSION,MEDIUM,2024-01-03 10:25,2024-01-03 12:25,COMPLETED
SR067,L041,L001,EMERGENCY,CRITICAL,2024-01-03 10:30,2024-01-03 10:45,COMPLETED
SR068,L032,L006,ADMISSION,HIGH,2024-01-03 10:35,2024-01-03 11:35,COMPLETED
SR069,L008,L010,TRANSFER,CRITICAL,2024-01-03 10:40,2024-01-03 10:55,COMPLETED
SR070,L032,L013,ADMISSION,MEDIUM,2024-01-03 10:45,2024-01-03 12:45,COMPLETED
SR071,L041,L001,EMERGENCY,HIGH,2024-01-04 08:00,2024-01-04 08:30,COMPLETED
SR072,L032,L016,ADMISSION,MEDIUM,2024-01-04 08:05,2024-01-04 10:05,COMPLETED
SR073,L001,L049,REFERRAL,CRITICAL,2024-01-04 08:10,2024-01-04 08:55,COMPLETED
SR074,L032,L017,ADMISSION,LOW,2024-01-04 08:15,2024-01-04 12:15,COMPLETED
SR075,L002,L025,TRANSFER,MEDIUM,2024-01-04 08:20,2024-01-04 09:20,COMPLETED
SR076,L032,L014,ADMISSION,HIGH,2024-01-04 08:25,2024-01-04 09:25,COMPLETED
SR077,L041,L001,EMERGENCY,CRITICAL,2024-01-04 08:30,2024-01-04 08:45,COMPLETED
SR078,L032,L022,ADMISSION,MEDIUM,2024-01-04 08:35,2024-01-04 10:35,COMPLETED
SR079,L006,L029,TRANSFER,HIGH,2024-01-04 08:40,2024-01-04 09:40,COMPLETED
SR080,L032,L009,ADMISSION,LOW,2024-01-04 08:45,2024-01-04 12:45,COMPLETED
SR081,L041,L001,EMERGENCY,CRITICAL,2024-01-04 09:00,2024-01-04 09:15,COMPLETED
SR082,L032,L002,ADMISSION,HIGH,2024-01-04 09:05,2024-01-04 10:05,COMPLETED
SR083,L032,L003,ADMISSION,MEDIUM,2024-01-04 09:10,2024-01-04 11:10,COMPLETED
SR084,L001,L011,TRANSFER,CRITICAL,2024-01-04 09:15,2024-01-04 09:30,COMPLETED
SR085,L032,L004,ADMISSION,LOW,2024-01-04 09:20,2024-01-04 13:20,COMPLETED
SR086,L041,L001,EMERGENCY,HIGH,2024-01-04 09:25,2024-01-04 09:55,COMPLETED
SR087,L032,L006,ADMISSION,MEDIUM,2024-01-04 09:30,2024-01-04 11:30,COMPLETED
SR088,L001,L029,TRANSFER,HIGH,2024-01-04 09:35,2024-01-04 10:35,COMPLETED
SR089,L032,L008,ADMISSION,MEDIUM,2024-01-04 09:40,2024-01-04 11:40,COMPLETED
SR090,L032,L013,ADMISSION,LOW,2024-01-04 09:45,2024-01-04 13:45,COMPLETED
SR091,L041,L001,EMERGENCY,CRITICAL,2024-01-05 08:00,2024-01-05 08:15,COMPLETED
SR092,L032,L016,ADMISSION,HIGH,2024-01-05 08:05,2024-01-05 09:05,COMPLETED
SR093,L002,L024,TRANSFER,MEDIUM,2024-01-05 08:10,2024-01-05 09:10,COMPLETED
SR094,L032,L017,ADMISSION,HIGH,2024-01-05 08:15,2024-01-05 09:15,COMPLETED
SR095,L001,L012,TRANSFER,CRITICAL,2024-01-05 08:20,2024-01-05 08:35,COMPLETED
SR096,L032,L014,ADMISSION,MEDIUM,2024-01-05 08:25,2024-01-05 10:25,COMPLETED
SR097,L041,L001,EMERGENCY,CRITICAL,2024-01-05 08:30,2024-01-05 08:45,COMPLETED
SR098,L032,L022,ADMISSION,LOW,2024-01-05 08:35,2024-01-05 12:35,COMPLETED
SR099,L004,L010,TRANSFER,CRITICAL,2024-01-05 08:40,2024-01-05 08:55,COMPLETED
SR100,L032,L009,ADMISSION,MEDIUM,2024-01-05 08:45,2024-01-05 10:45,COMPLETED
SR101,L041,L001,EMERGENCY,HIGH,2024-01-05 09:00,2024-01-05 09:30,COMPLETED
SR102,L032,L002,ADMISSION,MEDIUM,2024-01-05 09:05,2024-01-05 11:05,COMPLETED
SR103,L011,L046,REFERRAL,CRITICAL,2024-01-05 09:10,2024-01-05 09:45,COMPLETED
SR104,L032,L003,ADMISSION,LOW,2024-01-05 09:15,2024-01-05 13:15,COMPLETED
SR105,L001,L029,TRANSFER,HIGH,2024-01-05 09:20,2024-01-05 10:20,COMPLETED
SR106,L032,L004,ADMISSION,MEDIUM,2024-01-05 09:25,2024-01-05 11:25,COMPLETED
SR107,L041,L001,EMERGENCY,CRITICAL,2024-01-05 09:30,2024-01-05 09:45,COMPLETED
SR108,L032,L006,ADMISSION,HIGH,2024-01-05 09:35,2024-01-05 10:35,COMPLETED
SR109,L008,L010,TRANSFER,CRITICAL,2024-01-05 09:40,2024-01-05 09:55,COMPLETED
SR110,L032,L013,ADMISSION,MEDIUM,2024-01-05 09:45,2024-01-05 11:45,COMPLETED
SR111,L041,L001,EMERGENCY,CRITICAL,2024-01-06 08:00,2024-01-06 08:15,COMPLETED
SR112,L032,L016,ADMISSION,HIGH,2024-01-06 08:05,2024-01-06 09:05,COMPLETED
SR113,L001,L048,REFERRAL,CRITICAL,2024-01-06 08:10,2024-01-06 08:48,COMPLETED
SR114,L032,L017,ADMISSION,MEDIUM,2024-01-06 08:15,2024-01-06 10:15,COMPLETED
SR115,L002,L025,TRANSFER,LOW,2024-01-06 08:20,2024-01-06 12:20,COMPLETED
SR116,L032,L014,ADMISSION,HIGH,2024-01-06 08:25,2024-01-06 09:25,COMPLETED
SR117,L041,L001,EMERGENCY,CRITICAL,2024-01-06 08:30,2024-01-06 08:45,COMPLETED
SR118,L032,L022,ADMISSION,MEDIUM,2024-01-06 08:35,2024-01-06 10:35,COMPLETED
SR119,L006,L029,TRANSFER,HIGH,2024-01-06 08:40,2024-01-06 09:40,COMPLETED
SR120,L032,L009,ADMISSION,LOW,2024-01-06 08:45,2024-01-06 12:45,COMPLETED
SR121,L041,L001,EMERGENCY,CRITICAL,2024-01-07 08:00,2024-01-07 08:15,PENDING
SR122,L032,L002,ADMISSION,HIGH,2024-01-07 08:05,2024-01-07 09:05,PENDING
SR123,L032,L003,ADMISSION,MEDIUM,2024-01-07 08:10,2024-01-07 10:10,PENDING
SR124,L001,L011,TRANSFER,CRITICAL,2024-01-07 08:15,2024-01-07 08:30,PENDING
SR125,L032,L004,ADMISSION,LOW,2024-01-07 08:20,2024-01-07 12:20,PENDING
SR126,L041,L001,EMERGENCY,HIGH,2024-01-07 08:25,2024-01-07 08:55,PENDING
SR127,L032,L006,ADMISSION,MEDIUM,2024-01-07 08:30,2024-01-07 10:30,PENDING
SR128,L001,L029,TRANSFER,HIGH,2024-01-07 08:35,2024-01-07 09:35,PENDING
SR129,L032,L008,ADMISSION,MEDIUM,2024-01-07 08:40,2024-01-07 10:40,PENDING
SR130,L032,L013,ADMISSION,LOW,2024-01-07 08:45,2024-01-07 12:45,PENDING
SR131,L041,L001,EMERGENCY,CRITICAL,2024-01-07 09:00,2024-01-07 09:15,IN_PROGRESS
SR132,L032,L016,ADMISSION,HIGH,2024-01-07 09:05,2024-01-07 10:05,IN_PROGRESS
SR133,L002,L024,TRANSFER,MEDIUM,2024-01-07 09:10,2024-01-07 10:10,IN_PROGRESS
SR134,L032,L017,ADMISSION,HIGH,2024-01-07 09:15,2024-01-07 10:15,IN_PROGRESS
SR135,L001,L012,TRANSFER,CRITICAL,2024-01-07 09:20,2024-01-07 09:35,IN_PROGRESS
SR136,L032,L014,ADMISSION,MEDIUM,2024-01-07 09:25,2024-01-07 11:25,IN_PROGRESS
SR137,L041,L001,EMERGENCY,CRITICAL,2024-01-07 09:30,2024-01-07 09:45,IN_PROGRESS
SR138,L032,L022,ADMISSION,LOW,2024-01-07 09:35,2024-01-07 13:35,IN_PROGRESS
SR139,L004,L010,TRANSFER,CRITICAL,2024-01-07 09:40,2024-01-07 09:55,IN_PROGRESS
SR140,L032,L009,ADMISSION,MEDIUM,2024-01-07 09:45,2024-01-07 11:45,IN_PROGRESS
SR141,L041,L001,EMERGENCY,HIGH,2024-01-08 08:00,2024-01-08 08:30,PENDING
SR142,L032,L002,ADMISSION,MEDIUM,2024-01-08 08:05,2024-01-08 10:05,PENDING
SR143,L011,L047,REFERRAL,CRITICAL,2024-01-08 08:10,2024-01-08 08:40,PENDING
SR144,L032,L003,ADMISSION,LOW,2024-01-08 08:15,2024-01-08 12:15,PENDING
SR145,L001,L029,TRANSFER,HIGH,2024-01-08 08:20,2024-01-08 09:20,PENDING
SR146,L032,L004,ADMISSION,MEDIUM,2024-01-08 08:25,2024-01-08 10:25,PENDING
SR147,L041,L001,EMERGENCY,CRITICAL,2024-01-08 08:30,2024-01-08 08:45,PENDING
SR148,L032,L006,ADMISSION,HIGH,2024-01-08 08:35,2024-01-08 09:35,PENDING
SR149,L008,L010,TRANSFER,CRITICAL,2024-01-08 08:40,2024-01-08 08:55,PENDING
SR150,L032,L013,ADMISSION,MEDIUM,2024-01-08 08:45,2024-01-08 10:45,PENDING
SR151,L041,L001,EMERGENCY,CRITICAL,2024-01-08 09:00,2024-01-08 09:15,PENDING
SR152,L032,L016,ADMISSION,HIGH,2024-01-08 09:05,2024-01-08 10:05,PENDING
SR153,L001,L049,REFERRAL,CRITICAL,2024-01-08 09:10,2024-01-08 09:55,PENDING
SR154,L032,L017,ADMISSION,MEDIUM,2024-01-08 09:15,2024-01-08 11:15,PENDING
SR155,L002,L025,TRANSFER,LOW,2024-01-08 09:20,2024-01-08 13:20,PENDING
SR156,L032,L014,ADMISSION,HIGH,2024-01-08 09:25,2024-01-08 10:25,PENDING
SR157,L041,L001,EMERGENCY,CRITICAL,2024-01-08 09:30,2024-01-08 09:45,PENDING
SR158,L032,L022,ADMISSION,MEDIUM,2024-01-08 09:35,2024-01-08 11:35,PENDING
SR159,L006,L029,TRANSFER,HIGH,2024-01-08 09:40,2024-01-08 10:40,PENDING
SR160,L032,L009,ADMISSION,LOW,2024-01-08 09:45,2024-01-08 13:45,PENDING
SR161,L041,L001,EMERGENCY,HIGH,2024-01-09 08:00,2024-01-09 08:30,PENDING
SR162,L032,L002,ADMISSION,MEDIUM,2024-01-09 08:05,2024-01-09 10:05,PENDING
SR163,L001,L048,REFERRAL,CRITICAL,2024-01-09 08:10,2024-01-09 08:48,PENDING
SR164,L032,L003,ADMISSION,LOW,2024-01-09 08:15,2024-01-09 12:15,PENDING
SR165,L001,L029,TRANSFER,HIGH,2024-01-09 08:20,2024-01-09 09:20,PENDING
SR166,L032,L004,ADMISSION,MEDIUM,2024-01-09 08:25,2024-01-09 10:25,PENDING
SR167,L041,L001,EMERGENCY,CRITICAL,2024-01-09 08:30,2024-01-09 08:45,PENDING
SR168,L032,L006,ADMISSION,HIGH,2024-01-09 08:35,2024-01-09 09:35,PENDING
SR169,L004,L010,TRANSFER,CRITICAL,2024-01-09 08:40,2024-01-09 08:55,PENDING
SR170,L032,L013,ADMISSION,MEDIUM,2024-01-09 08:45,2024-01-09 10:45,PENDING
SR171,L041,L001,EMERGENCY,CRITICAL,2024-01-09 09:00,2024-01-09 09:15,PENDING
SR172,L032,L016,ADMISSION,HIGH,2024-01-09 09:05,2024-01-09 10:05,PENDING
SR173,L002,L024,TRANSFER,MEDIUM,2024-01-09 09:10,2024-01-09 10:10,PENDING
SR174,L032,L017,ADMISSION,LOW,2024-01-09 09:15,2024-01-09 13:15,PENDING
SR175,L001,L012,TRANSFER,CRITICAL,2024-01-09 09:20,2024-01-09 09:35,PENDING
SR176,L032,L014,ADMISSION,MEDIUM,2024-01-09 09:25,2024-01-09 11:25,PENDING
SR177,L041,L001,EMERGENCY,CRITICAL,2024-01-09 09:30,2024-01-09 09:45,PENDING
SR178,L032,L022,ADMISSION,LOW,2024-01-09 09:35,2024-01-09 13:35,PENDING
SR179,L008,L010,TRANSFER,CRITICAL,2024-01-09 09:40,2024-01-09 09:55,PENDING
SR180,L032,L009,ADMISSION,MEDIUM,2024-01-09 09:45,2024-01-09 11:45,PENDING
SR181,L041,L001,EMERGENCY,HIGH,2024-01-10 08:00,2024-01-10 08:30,PENDING
SR182,L032,L002,ADMISSION,MEDIUM,2024-01-10 08:05,2024-01-10 10:05,PENDING
SR183,L011,L046,REFERRAL,CRITICAL,2024-01-10 08:10,2024-01-10 08:45,PENDING
SR184,L032,L003,ADMISSION,HIGH,2024-01-10 08:15,2024-01-10 09:15,PENDING
SR185,L001,L029,TRANSFER,HIGH,2024-01-10 08:20,2024-01-10 09:20,PENDING
SR186,L032,L004,ADMISSION,LOW,2024-01-10 08:25,2024-01-10 12:25,PENDING
SR187,L041,L001,EMERGENCY,CRITICAL,2024-01-10 08:30,2024-01-10 08:45,PENDING
SR188,L032,L006,ADMISSION,MEDIUM,2024-01-10 08:35,2024-01-10 10:35,PENDING
SR189,L006,L029,TRANSFER,HIGH,2024-01-10 08:40,2024-01-10 09:40,PENDING
SR190,L032,L013,ADMISSION,LOW,2024-01-10 08:45,2024-01-10 12:45,PENDING
SR191,L041,L001,EMERGENCY,CRITICAL,2024-01-10 09:00,2024-01-10 09:15,PENDING
SR192,L032,L016,ADMISSION,HIGH,2024-01-10 09:05,2024-01-10 10:05,PENDING
SR193,L001,L050,REFERRAL,CRITICAL,2024-01-10 09:10,2024-01-10 10:10,PENDING
SR194,L032,L017,ADMISSION,MEDIUM,2024-01-10 09:15,2024-01-10 11:15,PENDING
SR195,L002,L025,TRANSFER,LOW,2024-01-10 09:20,2024-01-10 13:20,PENDING
SR196,L032,L014,ADMISSION,HIGH,2024-01-10 09:25,2024-01-10 10:25,PENDING
SR197,L041,L001,EMERGENCY,CRITICAL,2024-01-10 09:30,2024-01-10 09:45,PENDING
SR198,L032,L022,ADMISSION,MEDIUM,2024-01-10 09:35,2024-01-10 11:35,PENDING
SR199,L004,L010,TRANSFER,CRITICAL,2024-01-10 09:40,2024-01-10 09:55,PENDING
SR200,L032,L009,ADMISSION,LOW,2024-01-10 09:45,2024-01-10 13:45,PENDING
SR201,L041,L001,EMERGENCY,CRITICAL,2024-01-11 08:00,2024-01-11 08:15,PENDING
SR202,L032,L002,ADMISSION,HIGH,2024-01-11 08:05,2024-01-11 09:05,PENDING
SR203,L032,L003,ADMISSION,MEDIUM,2024-01-11 08:10,2024-01-11 10:10,PENDING
SR204,L001,L011,TRANSFER,CRITICAL,2024-01-11 08:15,2024-01-11 08:30,PENDING
SR205,L032,L004,ADMISSION,LOW,2024-01-11 08:20,2024-01-11 12:20,PENDING
SR206,L041,L001,EMERGENCY,HIGH,2024-01-11 08:25,2024-01-11 08:55,PENDING
SR207,L032,L006,ADMISSION,MEDIUM,2024-01-11 08:30,2024-01-11 10:30,PENDING
SR208,L001,L029,TRANSFER,HIGH,2024-01-11 08:35,2024-01-11 09:35,PENDING
SR209,L032,L008,ADMISSION,MEDIUM,2024-01-11 08:40,2024-01-11 10:40,PENDING
SR210,L032,L013,ADMISSION,LOW,2024-01-11 08:45,2024-01-11 12:45,PENDING
SR211,L041,L001,EMERGENCY,CRITICAL,2024-01-11 09:00,2024-01-11 09:15,PENDING
SR212,L032,L016,ADMISSION,HIGH,2024-01-11 09:05,2024-01-11 10:05,PENDING
SR213,L011,L048,REFERRAL,CRITICAL,2024-01-11 09:10,2024-01-11 09:48,PENDING
SR214,L032,L017,ADMISSION,MEDIUM,2024-01-11 09:15,2024-01-11 11:15,PENDING
SR215,L002,L024,TRANSFER,LOW,2024-01-11 09:20,2024-01-11 13:20,PENDING
SR216,L032,L014,ADMISSION,HIGH,2024-01-11 09:25,2024-01-11 10:25,PENDING
SR217,L041,L001,EMERGENCY,CRITICAL,2024-01-11 09:30,2024-01-11 09:45,PENDING
SR218,L032,L022,ADMISSION,MEDIUM,2024-01-11 09:35,2024-01-11 11:35,PENDING
SR219,L008,L010,TRANSFER,CRITICAL,2024-01-11 09:40,2024-01-11 09:55,PENDING
SR220,L032,L009,ADMISSION,LOW,2024-01-11 09:45,2024-01-11 13:45,PENDING
SR221,L041,L001,EMERGENCY,HIGH,2024-01-12 08:00,2024-01-12 08:30,PENDING
SR222,L032,L002,ADMISSION,MEDIUM,2024-01-12 08:05,2024-01-12 10:05,PENDING
SR223,L001,L046,REFERRAL,CRITICAL,2024-01-12 08:10,2024-01-12 08:45,PENDING
SR224,L032,L003,ADMISSION,HIGH,2024-01-12 08:15,2024-01-12 09:15,PENDING
SR225,L001,L029,TRANSFER,HIGH,2024-01-12 08:20,2024-01-12 09:20,PENDING
SR226,L032,L004,ADMISSION,LOW,2024-01-12 08:25,2024-01-12 12:25,PENDING
SR227,L041,L001,EMERGENCY,CRITICAL,2024-01-12 08:30,2024-01-12 08:45,PENDING
SR228,L032,L006,ADMISSION,MEDIUM,2024-01-12 08:35,2024-01-12 10:35,PENDING
SR229,L006,L029,TRANSFER,HIGH,2024-01-12 08:40,2024-01-12 09:40,PENDING
SR230,L032,L013,ADMISSION,MEDIUM,2024-01-12 08:45,2024-01-12 10:45,PENDING
SR231,L041,L001,EMERGENCY,CRITICAL,2024-01-12 09:00,2024-01-12 09:15,PENDING
SR232,L032,L016,ADMISSION,HIGH,2024-01-12 09:05,2024-01-12 10:05,PENDING
SR233,L001,L047,REFERRAL,CRITICAL,2024-01-12 09:10,2024-01-12 09:40,PENDING
SR234,L032,L017,ADMISSION,MEDIUM,2024-01-12 09:15,2024-01-12 11:15,PENDING
SR235,L002,L025,TRANSFER,LOW,2024-01-12 09:20,2024-01-12 13:20,PENDING
SR236,L032,L014,ADMISSION,HIGH,2024-01-12 09:25,2024-01-12 10:25,PENDING
SR237,L041,L001,EMERGENCY,CRITICAL,2024-01-12 09:30,2024-01-12 09:45,PENDING
SR238,L032,L022,ADMISSION,LOW,2024-01-12 09:35,2024-01-12 13:35,PENDING
SR239,L004,L010,TRANSFER,CRITICAL,2024-01-12 09:40,2024-01-12 09:55,PENDING
SR240,L032,L009,ADMISSION,MEDIUM,2024-01-12 09:45,2024-01-12 11:45,PENDING
SR241,L041,L001,EMERGENCY,CRITICAL,2024-01-13 08:00,2024-01-13 08:15,PENDING
SR242,L032,L002,ADMISSION,HIGH,2024-01-13 08:05,2024-01-13 09:05,PENDING
SR243,L032,L003,ADMISSION,MEDIUM,2024-01-13 08:10,2024-01-13 10:10,PENDING
SR244,L001,L011,TRANSFER,CRITICAL,2024-01-13 08:15,2024-01-13 08:30,PENDING
SR245,L032,L004,ADMISSION,LOW,2024-01-13 08:20,2024-01-13 12:20,PENDING
SR246,L041,L001,EMERGENCY,HIGH,2024-01-13 08:25,2024-01-13 08:55,PENDING
SR247,L032,L006,ADMISSION,MEDIUM,2024-01-13 08:30,2024-01-13 10:30,PENDING
SR248,L001,L029,TRANSFER,HIGH,2024-01-13 08:35,2024-01-13 09:35,PENDING
SR249,L032,L008,ADMISSION,MEDIUM,2024-01-13 08:40,2024-01-13 10:40,PENDING
SR250,L032,L013,ADMISSION,LOW,2024-01-13 08:45,2024-01-13 12:45,PENDING
SR251,L041,L001,EMERGENCY,CRITICAL,2024-01-13 09:00,2024-01-13 09:15,PENDING
SR252,L032,L016,ADMISSION,HIGH,2024-01-13 09:05,2024-01-13 10:05,PENDING
SR253,L001,L049,REFERRAL,CRITICAL,2024-01-13 09:10,2024-01-13 09:55,PENDING
SR254,L032,L017,ADMISSION,MEDIUM,2024-01-13 09:15,2024-01-13 11:15,PENDING
SR255,L002,L024,TRANSFER,LOW,2024-01-13 09:20,2024-01-13 13:20,PENDING
SR256,L032,L014,ADMISSION,HIGH,2024-01-13 09:25,2024-01-13 10:25,PENDING
SR257,L041,L001,EMERGENCY,CRITICAL,2024-01-13 09:30,2024-01-13 09:45,PENDING
SR258,L032,L022,ADMISSION,MEDIUM,2024-01-13 09:35,2024-01-13 11:35,PENDING
SR259,L008,L010,TRANSFER,CRITICAL,2024-01-13 09:40,2024-01-13 09:55,PENDING
SR260,L032,L009,ADMISSION,LOW,2024-01-13 09:45,2024-01-13 13:45,PENDING
SR261,L041,L001,EMERGENCY,HIGH,2024-01-14 08:00,2024-01-14 08:30,PENDING
SR262,L032,L002,ADMISSION,MEDIUM,2024-01-14 08:05,2024-01-14 10:05,PENDING
SR263,L011,L046,REFERRAL,CRITICAL,2024-01-14 08:10,2024-01-14 08:45,PENDING
SR264,L032,L003,ADMISSION,HIGH,2024-01-14 08:15,2024-01-14 09:15,PENDING
SR265,L001,L029,TRANSFER,HIGH,2024-01-14 08:20,2024-01-14 09:20,PENDING
SR266,L032,L004,ADMISSION,LOW,2024-01-14 08:25,2024-01-14 12:25,PENDING
SR267,L041,L001,EMERGENCY,CRITICAL,2024-01-14 08:30,2024-01-14 08:45,PENDING
SR268,L032,L006,ADMISSION,MEDIUM,2024-01-14 08:35,2024-01-14 10:35,PENDING
SR269,L006,L029,TRANSFER,HIGH,2024-01-14 08:40,2024-01-14 09:40,PENDING
SR270,L032,L013,ADMISSION,MEDIUM,2024-01-14 08:45,2024-01-14 10:45,PENDING
SR271,L041,L001,EMERGENCY,CRITICAL,2024-01-14 09:00,2024-01-14 09:15,PENDING
SR272,L032,L016,ADMISSION,HIGH,2024-01-14 09:05,2024-01-14 10:05,PENDING
